Homens,Mulheres,Total,Região
98532431,104548325,203080756,Brasil
8663119,8691765,17354884,Norte
26417802,28240713,54658515,Nordeste
40859823,43980290,84840113,Sudeste
14584204,15353502,29937706,Sul
8007483,8282055,16289538,Centro-Oeste
787987,793209,1581196,Rondônia
415332,414686,830018,Acre
1965810,1975803,3941613,Amazonas
320392,316315,636707,Roraima
4051813,4068318,8120131,Pará
364516,369243,733759,Amapá
757269,754191,1511460,Tocantins
3329423,3447276,6776699,Maranhão
1600602,1670597,3271199,Piauí
4257927,4537030,8794957,Ceará
1598762,1703967,3302729,Rio Grande do Norte
1918855,2055832,3974687,Paraíba
4321320,4737611,9058931,Pernambuco
1497419,1630264,3127683,Alagoas
1057808,1152196,2210004,Sergipe
6835686,7305940,14141626,Bahia
10015709,10524280,20539989,Minas Gerais
1870063,1963649,3833712,Espírito Santo
7577675,8477499,16055174,Rio de Janeiro
21396376,23014862,44411238,São Paulo
5577350,5867030,11444380,Paraná
3751103,3859258,7610361,Santa Catarina
5255751,5627214,10882965,Rio Grande do Sul
1356515,1400498,2757013,Mato Grosso do Sul
1841241,1817408,3658649,Mato Grosso
3466941,3589554,7056495,Goiás
1342786,1474595,2817381,Distrito Federal
